name,current_price,market_cap,circulating_supply
Tether,0.998615,83113402459.0,83182001730.3693
USD Coin,1.0,26034581361.0,26030448125.7969
Dai,0.999542,3928771565.0,3929160703.66906
Binance USD,0.999787,3338458973.0,3337600151.87
TrueUSD,0.99883,2748385458.0,2751974781.45
Frax,0.997433,810993151.0,812641409.408784
USDD,0.996759,723172349.0,725332034.742248
Pax Dollar,0.999438,506143175.0,506100005.200683
PAX Gold,1898.93,471963968.0,248343.361
Tether Gold,1903.97,469480918.0,246524.33
